"Curated_Proliferation","Curated_Stroma_EMT_TGFb","Curated_RAS","Curated_MYC","Curated_WNT","Curated_Hypoxia","Curated_Glycolysis","Curated_Angiogenesis","Curated_gMDSC","Curated_mMDSC","Zilionis2019_Ciliated_cells","Zilionis2019_Club_cells","Zilionis2019_Endothelial_cells","Zilionis2019_Fibroblasts","Zilionis2019_hRBC","Zilionis2019_hB","Zilionis2019_hT7","Zilionis2019_hT6","Zilionis2019_hT5","Zilionis2019_hT4","Zilionis2019_hT3","Zilionis2019_hT2","Zilionis2019_hT1","Zilionis2019_hPC6","Zilionis2019_hPC5","Zilionis2019_hPC4","Zilionis2019_hPC3","Zilionis2019_hPC2","Zilionis2019_hPC1","Zilionis2019_hNeutro5","Zilionis2019_hNeutro4","Zilionis2019_hNeutro3","Zilionis2019_hNeutro2","Zilionis2019_hNeutro1","Zilionis2019_hNK2","Zilionis2019_hNK1","Zilionis2019_hMast2","Zilionis2019_hMast1","Zilionis2019_hMacCyc","Zilionis2019_hMonoDC","Zilionis2019_hMac9","Zilionis2019_hMac8","Zilionis2019_hMac7","Zilionis2019_hMac6","Zilionis2019_hMac5","Zilionis2019_hMac4","Zilionis2019_hMac3","Zilionis2019_hMac2","Zilionis2019_hMac1","Zilionis2019_hMono3","Zilionis2019_hMono2","Zilionis2019_hMono1","Zilionis2019_hpDC","Zilionis2019_hDC3","Zilionis2019_hDC2","Zilionis2019_hDC1","Zilionis2019_AT2","Zilionis2019_AT1","Zilionis2019_Smooth_muscle","Zilionis2019_ND","Bagaev2021_MHCI","Bagaev2021_MHCII","Bagaev2021_Co_activation_molecules","Bagaev2021_Effector_cells","Bagaev2021_Effector_cell_traffic","Bagaev2021_NK_cells","Bagaev2021_T_cells","Bagaev2021_B_cells","Bagaev2021_M1_signature","Bagaev2021_Th1_signature","Bagaev2021_Antitumor_cytokines","Bagaev2021_Checkpoint_molecules","Bagaev2021_Treg","Bagaev2021_Treg_and_Th2_traffic","Bagaev2021_Neutrophil_signature","Bagaev2021_Granulocyte_traffic","Bagaev2021_Immune_Suppression_by_Myeloid_Cells","Bagaev2021_Myeloid_cells_traffic","Bagaev2021_Tumor_associated_Macrophages","Bagaev2021_Macrophage_and_DC_traffic","Bagaev2021_Th2_signature","Bagaev2021_Protumor_cytokines","Bagaev2021_Cancer_associated_fibroblasts","Bagaev2021_Matrix","Bagaev2021_Matrix_remodeling","Bagaev2021_Angiogenesis","Bagaev2021_Endothelium","Bagaev2021_Tumor_proliferation_rate","Bagaev2021_EMT_signature","Guo2018_Exhausted_CD8_T","Guo2018_Exhausted_CD4_T","Guo2018_Suppressive_Treg_vs_Resting_Treg","Guo2018_SuppTreg_TNFRSF9_Hi_vs_Low","Liu2022_CD8_T_Exhaustion_Liu2022","Liu2022_CD8_Tumor_Reactive_Simoni2018","Caushi2021_MANA_T","Caushi2021_InfluenzaA_T","Caushi2021_EBV_T","Caushi2021_nonMPR_High_MANA_T","Caushi2021_MPR_High_MANA_T","Caushi2021_Core_TRM_Clacke2019","Caushi2021_Exhausted_T_Guo2018","Caushi2021_IL7_induced_T_Belarif2018","ICB_Patil2022_B_GC","ICB_Patil2022_B_Follicular","ICB_Patil2022_Plasma","ICB_Gao2018_IFNG","ICB_SadeFeldman2018_CD39hi_CD8T_unsorted","ICB_SadeFeldman2018_CD39lo_CD8T_unsorted","ICB_SadeFeldman2018_CD39hi_CD8T_sorted","ICB_SadeFeldman2018_CD39lo_CD8T_sorted","ICB_Litchfield2021_NeoantigenT","Cords2023_Pericyte","Cords2023_apCAF","Cords2023_dCAF","Cords2023_hsp_tCAF","Cords2023_iCAF","Cords2023_ifnCAF","Cords2023_mCAF","Cords2023_rCAF","Cords2023_tCAF","Cords2023_vCAF","Salcher2022_mesothelial_cell","Salcher2022_epithelial_cell_of_lung","Salcher2022_mast_cell","Salcher2022_club_cell","Salcher2022_smooth_muscle_cell","Salcher2022_macrophage","Salcher2022_B_cell","Salcher2022_dendritic_cell","Salcher2022_stromal_cell","Salcher2022_alveolar_macrophage","Salcher2022_natural_killer_cell","Salcher2022_CD4_positive__alpha_beta_T_cell","Salcher2022_CD8_positive__alpha_beta_T_cell","Salcher2022_pericyte","Salcher2022_myeloid_cell","Salcher2022_neutrophil","Salcher2022_plasmacytoid_dendritic_cell","Salcher2022_plasma_cell","Salcher2022_regulatory_T_cell","Salcher2022_classical_monocyte","Salcher2022_non_classical_monocyte","Salcher2022_conventional_dendritic_cell","Salcher2022_malignant_cell","Salcher2022_type_I_pneumocyte","Salcher2022_type_II_pneumocyte","Salcher2022_endothelial_cell_of_lymphatic_vessel","Salcher2022_capillary_endothelial_cell","Salcher2022_CD1c_positive_myeloid_dendritic_cell","Salcher2022_vein_endothelial_cell","Salcher2022_fibroblast_of_lung","Salcher2022_multi_ciliated_epithelial_cell","Salcher2022_pulmonary_artery_endothelial_cell","Salcher2022_bronchus_fibroblast_of_lung","Danaher2017_B_cell","Danaher2017_CD45","Danaher2017_Cytotoxic_cell","Danaher2017_DC","Danaher2017_Exhausted_CD8","Danaher2017_Macrophage","Danaher2017_Mast_cell","Danaher2017_Neutrophil","Danaher2017_NK_CD56dim","Danaher2017_NK_cell","Danaher2017_T_cell","Danaher2017_Th1","Danaher2017_Treg","Danaher2017_CD8_T","T_Inflamed"
"H2AFZ","AEBP1","LGALS3","CCT3","RNF43","ENO1","ENO1","VEGFA","SERPINB1","CD74","C20orf85","BPIFB1","VWF","LUM","HBB","MS4A1","HIST1H4C","ZNF683","MT1E","NMB","FOXP3","IL7R","GZMK","AC091948.1","IGHG4","IGLC7","AC104699.1","IGHD","LINC01485","PI3","RHOH","ARHGEF40","ISG15","ARG1","KRT81","S1PR5","CMA1","KCNH2","ANLN","CCL17","CXCL10","IGSF21","FABP4","CCL18","CHIT1","CHI3L1","DNASE2","PLCXD3","MMP12","SERPINB2","DAGLB","CHMP1B","LILRA4","CCL22","CD207","CLEC9A","SFTPC","AGER","MYH11","AFAP1-AS1","HLA-A","HLA-DRA","CD28","IFNG","CXCL9","NKG7","TBX21","CD19","NOS2","IFNG","TNF","PDCD1","FOXP3","CCL17","MPO","CXCL8","IDO1","CSF2","IL10","CCL2","IL4","IL10","COL1A1","FN1","CA9","VEGFA","NOS3","MKI67","SNAI1","HAVCR2","CXCL13","CCR8","TNFRSF9","TOX","ENTPD1","NDFIP2","CFH","ENC1","HLA-DRB5","ITGA6","ITGAE","HAVCR2","  IKZF4","RGS13","BANK1","MZB1","ADAR","GEM","TCF7","BATF","TNFAIP8","CXCL13","RGS5","IGLC2","STMN1","NDRG1","CFD","CXCL10","MMP11","CCL19","TMEM158","MYH11","ITLN1","SCGB3A2","TPSB2","SCGB1A1","TAGLN","APOE","CD79A","CCL17","COL1A2","FABP4","GNLY","IL7R","CCL5","ACTA2","STMN1","CXCL8","GZMB","IGKC","TNFRSF4","S100A8","LST1","CST3","PERP","AGER","SFTPC","CCL21","FCN3","HLA-DPB1","VWF","DCN","TPPP3","MT1M","COL1A2","BLK","PTPRC","PRF1","CCL13","LAG3","CD68","TPSB2","FPR1","KIR2DL3","XCL1","CD6","TBX21","FOXP3","CD8A","CCL5"
"HMGB2","COL1A2","DUSP6","CCT7","BMP4","LDHA","GSTP1","CD34","SOD2","CTSB","C9orf24","SCGB1A1","FCN3","MMP2","HBA2","BANK1","ASPM","MYO7A","MT1X","CXCL13","IL32","GPR171","EOMES","ZNF701","AC021739.3","DNHD1","ZNF275","IGLV2-14",NA,"AC015912.3","PPIF","CPPED1","IFIT2","CDA","KIR2DL4","KIR2DL3","CTSG","LTC4S","RTL5","CLEC10A","CXCL9","GATM","PCOLCE2","PLTP","CHRNA1","FABP5",NA,NA,"CXCL5","VCAN","LILRB1","OLR1","TCL1A","FSCN1","CD1A","SNX3","ZDHHC3","EMP2","MUSTN1","LIG3","HLA-B","HLA-DRB1","CD40","GZMA","CXCL10","CD160","ITK","MS4A1","TNF","IL2","IFNB1","CD274","CTLA4","CCL22","ELANE","CXCL1","ARG1","CSF3","MRC1","CCL7","IL5","TGFB1","COL1A2","COL1A1","MMP9","VEGFB","KDR","ESCO2","SNAI2","CXCL13","PDCD1","CXCR6","IL1R2","TIGIT","CCL3","PRRG4","SPART","CCDC86","CXCL13","SC5D","GSG2","CXCL13","  SYNE3","HMGA1","CD83","XBP1","CNTFR","LAYN","IL7R","LAG3","ATM","CCR5","NDUFA4L2","IGKC","CENPF","HSPH1","PLA2G2A","CCL19","POSTN","CCL21","ENO1","RERGL","HP","SFTPB","TPSAB1","BPIFB1","ACTA2","CTSB","MS4A1","CCL22","COL1A1","MSR1","NKG7","LTB","GZMA","IGFBP7","TUBA1B","G0S2","GPR183","IGLC2","IL32","S100A9","FCN1","CPVL","KRT19","EMP2","SFTPA1","TFF3","CLDN5","FCER1A","SPARCL1","MGP","CAPS","CLDN5","COL1A1","CD19",NA,"GZMA","CD209","CD244","CD84","TPSAB1","SIGLEC5","KIR3DL1","XCL2","CD3D",NA,NA,"CD8B","CD27"
"HMGA1","CRISPLD2","S100A6","PA2G4","TSPAN8","TPI1","LDHA","ANGPTL4","S100A8","FCER1G","CAPS","PKP3","CLDN5","CTHRC1","HBA1","TNFRSF13C","CDCA8","LINC01871","MT2A","GNG4","ICOS","LDLRAP1","ENC1","LINC01981","IGLV1-40","EGF","JCHAIN","IGHM",NA,"GPR84","RNF141","CDC42EP2","RSAD2","PADI4","GZMA","KLRF1","ADCYAP1","ALPI","TUBA1B","FPR3","CXCL11","ITPR2","SCD","CD209","CHCHD6","BCAP31",NA,NA,"SLAMF9","PNP","LYPD2","DSE","GPR183","TNFRSF11B","HLA-DQB2","XCR1","CRTAC1","CYP4B1","NOTCH3","SMARCA1","HLA-C","HLA-DMA","TNFRSF4","GZMB","CXCL11","CD244","CD3D","TNFRSF13C","IL1B","CD40LG","IFNA2","CTLA4","IL10","CCL1","PRTN3","CXCL2","IL10","CXCL12","MSR1","CCL8","IL13","TGFB2","COL5A1","COL1A2","MMP2","VEGFC","FLT1","CETN3","TWIST1","CCL3","ALOX5AP","TNFRSF18","CCR8","LAYN","ATF1","ETV7","PLAC8","HLA-DQA2","GNLY","BCL2","MYO7A","CCL3","  CCR5","PCLAF","CD69","FKBP11","CREB1","VCAM1","FAM65B","CD38","CD55","ICOS","COL4A1","HLA-DRA","MKI67","VEGFA","APOD","CXCL9","COL1A1","CCL2","BNIP3","ADIRF","PLA2G2A","WFDC2","CPA3","SCGB3A1","TPM2","APOC1","CD79B","BIRC3","COL3A1","C1QB","PRF1","TRAC","CD8A","RGS5","H4C3","CSF3R","IRF7","IGHG1","TRAC","THBS1","AIF1","HLA-DPB1","SFN","CAV1","SFTPA2","IGFBP7","CA4","HLA-DPA1","ACKR1","LUM","TSPAN1","DEPP1","COL3A1","MS4A1",NA,"GZMB","HSD11B1","EOMES","CD163","CPA3","CSFR3","KIR3DL2","NCR1","CD3E",NA,NA,NA,"CD274"
"MCM7","SPARC","PHLDA1","RRS1","PPP1R1B","DDIT4","TPI1","KDR","CTSC","HLA-DRA","AC007906.2","ZMPSTE24","ACKR1","MMP11","ALAS2","CXCR5","FBXO5","CD3D","MT1F","IGFL2","DUSP16","PTGER4","TRAT1","VPS13D","IGLV3-1","ANKRD34A","PPIB","SCARNA16",NA,"SNAPC1","CLEC4A","CXCR2","IFIT3","S100A12","GNLY","PRF1","MRO","TMEM233","SUV39H1",NA,"CCL8","CD163L1","ALDH2","F13A1","ATP6V0D2","CD36",NA,NA,"CXCL3","OGFOD1","LILRB2","ATP1B3","ZFAT","LY75","FCGBP","CPNE3","DMBT1","ANKRD1","RGS5","SCAND1","B2M","HLA-DPA1","ICOS","PRF1","CX3CL1","NCR1","CD3E","CR2","SOCS3","IL21","CCL3","LAG3","TNFRSF18","CCL28","CTSG","CXCL5","CYBB","CCL26","CD163","XCL1","IL10","TGFB3","ACTA2","COL4A1","MMP1","PDGFC","VCAM1","CDK2","TWIST2","SIRPG","FKBP5","IL1R2","LGALS1","LAG3","RGS16","SKA2","PTGER2","NOP16","GEM","HSD17B11","GPR25","SIRPG","  ETS1","STMN1","SELL","DERL3","CRREB3","FAM3C","TC2N","CTLA4","LTB","MYO7A","HIGD1B","CD74","PTTG1","VMP1","PI16","CCL5","COMP","APOE","GAPDH","ACTA2","PRG4","NAPSA","MS4A2","SLPI","MYL9","FTL","VPREB3","CCR7","CALD1","C1QA","FGFBP2","CD3D","GZMH","CALD1","TUBB","C5AR1","TCL1A","IGHA1","TNFRSF18","EREG","RNF144B","HLA-DPA1","FXYD3","CYP4B1","SFTPB","GNG11","RAMP2","HLA-DQB1","IGFBP7","FBLN1","C9orf24","FCN3","LUM","FCRL2",NA,"NKG7",NA,"PTGER4","MS4A4A","MS4A2","FCAR","IL21R",NA,"SH2D1A",NA,NA,NA,"CD8A"
"PCNA","COL3A1","SPRY4","TOMM40","SLC44A4","ERO1L","ERO1L","TEK","CCL18","IFI30","TMEM190","CXCL6","FAM107A","SFRP4","HBD","VPREB3","EZH2","ASB2","MT1G","CD200","BATF","CACNA1I","GZMM","LHFPL3-AS1","BEX5","AL451067.1","AVEN","C16orf74",NA,"TGM3","IVNS1ABP","VMP1","IFIT1","RGL4","KLRC1","NKG7","HPGD","NSMCE1","TGFBI",NA,"CALHM6","CSF1R","PPARG","CLEC4G","LIPA","FAM20C",NA,NA,"CLEC5A","LONRF3","LILRA1","EPB41L3","PLD4","CCR7","S100B","C1orf54","PGC","ANOS1","CNN1","PSMD4","TAP1","HLA-DPB1","TNFRSF9","GZMK","CCL3","KLRC2","CD3G","TNFRSF17","CMKLR1","TBX21","TNFSF10","PDCD1LG2","CCR8","CCR4","CXCR1","CCL11","PTGS2","IL6","CSF1R","CCR2","GATA3","IL22","FGF2","COL3A1","MMP3","CXCL8","VWF","CCND1","ZEB1","IFNG","RBPJ","CTSC","TNFRSF18","HAVCR2","CD9","HSD17B7","MYBL1","CTU2","CCL3","ELL2","KRT86","IFNG","  BHLHE40","LRMP","REL","HSP90B1","CRLF2","RDH10","AOAH","GZMB","SELL","GBP4","COX4I2","CXCR4","TOP2A","CCNL1","CXCL14","CXCL11","COL10A1","IGFBP5","NDRG1","BCAM","C3","PIGR","HPGDS","LCN2","ACTG2","CTSD","CD37","MARCKSL1","SPARC","MARCO","GZMB","RPS29","CD3D","SPARC","H2AZ1","NAMPT","IRF8","IGHG3","LTB","VCAN","WARS1","LGALS2","KRT18","GPRC5A","SLPI","MMRN1","EPAS1","HLA-DQA1","HSPG2","CFD","C20orf85","EPAS1","POSTN","KIAA0125",NA,"GZMH",NA,NA,NA,"HDC","FCGR3B",NA,NA,"TRAT1",NA,NA,NA,"CMKLR1"
"UBE2C","COL5A1","SPRY2","DKC1","C9orf152","P4HA1","PGK1","NDUFA4L2","CXCL2","HLA-DMB","RSPH1","TF","SLCO2A1","COL1A1","HBG1","LY9","BUB3","KRT86","HSP90AA1","BHLHE40-AS1","IKZF2","NOP53","CCR5","NCS1","CCDC136","PIP5K1B","LINC02362","AC138150.1",NA,"BNIP3L","CCL4L2","RASSF3","HERC5","IL18RAP","TMIGD2","KIR3DL2","SPAG5-AS1","GRAP2","KIF20A",NA,"TMEM106A","GPR34","CCL23","CCL13","OTOA","MFSD12",NA,NA,"PPBP","KYNU","AC073896.3","LATS2","OPN3","POGLUT1","FCER1A","CPVL","DUOX1","SLC15A2","ACTG2","RECQL4","TAP2","HLA-DMB","CD27","ZAP70","CCL4","KLRK1","TRAC","TNFRSF13B","IRF5","STAT4","IL21","BTLA","IKZF4","CCR8","CXCR2","KITLG","IL4I1","CXCL8","IL4I1","XCR1","CCR4","MIF","FAP","VTN","MMP12","CXCR2","CDH5","CCNE1","ZEB2","TIGIT","NR3C1","TNFRSF9","CST7","ENTPD1","TOR3A","KCNN4","SORBS3","IQCN","TNS3","P2RY10","SPRY1","TIGIT","  UGCG","PTTG1","FCMR","IGHG2","CSF2RA","TNFRSF18","SCML4","CXCR6","GPR183","CD38","COL4A2","HLA-DRB1","H2AFZ","SAT1","PRG4","CST1","COL11A1","C2orf40","PGK1","MCAM","CCDC80","SFTA2","GATA2","WFDC2","MFAP4","CTSL","BANK1","FSCN1","POSTN","APOC1","KLRD1","RPS27","NKG7","GPX3","PCLAF","PLAUR","PLD4","IGLC3","TIGIT","FCN1","COTL1","S100B","MDK","RTKN2","NAPSA","TFPI","TMEM100","HLA-DRA","CLDN5","MFAP4","TMEM190","TIMP3","SPARC","TNFRSF17",NA,"KLRK1",NA,NA,NA,NA,"CEACAM3",NA,NA,"CD3G",NA,NA,NA,"CXCL9"
"NCAPD2","VCAN","EPHA2","NOP56","VWA2","P4HA2","PFKP","ANGPT2","PLAUR","C1QC","AL357093.2","MMP10","CCL14","COL11A1","HBG2","PAX5","PCNA","CLSTN3","DNAJA1","PCAT29","HS3ST3B1","SARAF","ZNF184","GET4","KCNJ13","FAM83A","LINC01249","SEL1L",NA,"RMND5A","GK-IT1","GLT1D1","OASL","AC245128.3","B3GNT7","SPON2","PPP3CB-AS1","KIAA1549","TELO2",NA,"AC020656.1","FRMD4A","MARCO","FCGRT","CYP27A1","MMP7",NA,NA,"ZMIZ1-AS1","NAIP","LRRC25","GABARAPL1","PACSIN1","KDM2B","NDRG2","NAAA","AASS","CLIC5","ADAMTS1","GOT2","TAPBP","HLA-DQB1","CD80","GNLY","CX3CR1","CD226","TRBC1","CD22","IL12A","IL12RB2",NA,"HAVCR2","IKZF2","CCR10","FCGR3B","CXCR1","IL6","CXCL5","SIGLEC1","CSF1R",NA,"IL6","LRP1","LGALS7","MMP7","FLT1","MMRN1","AURKA","CDH2","GZMB","ID2","APOBEC3C","TNFRSF4","DUSP4","MKI67","CDCA7","CCND3","CSNK1D","LINC02195","CIRBP","CLNK","GZMB","  FAM101B","HMGB2","HLA-DRB5","IGHGP","CSF3R","AFAP1L2","FAM102A","CXCL13","IL7R","SLA2","CCDC102B","HLA-DPA1","HIST1H4C","HSP90AA1","IGFBP6","TNFSF10","COL1A2","STEAP4","IGFBP3","TAGLN","MT1E","MUC1","KIT","TFF3","IGFBP7","C1QC","TNFRSF13C","CCL19","THY1","MCEMP1","CCL4","CD3E","CD8B","EGFL6","HMGN2","IFITM2","LILRA4","IGHG4","TRBC2","NAMPT","FCGR3A","C1orf54","KRT8","ADIRF","SFTPD","AKAP12","SPARCL1","CD1C","MGP","A2M","RSPH1","ID1","DCN","TCL1A",NA,"KLRB1",NA,NA,NA,NA,"S100A12",NA,NA,NA,NA,NA,NA,"CXCR6"
"RFC4","COL15A1","CD97","MRTO4","AXIN2","PGK1","SLC2A1","ESM1","NCF2","CD53","C5orf49","TMEM45A","CLEC14A","SFRP2","SLC25A39","ARHGAP24","ATAD2","ASXL2","HSPH1","PGM2L1","FAS","RPL13","FAM160B1","OR6C4","AC008280.3","AL138963.1","SRPRB","CD27",NA,"TBC1D7","LYST","TECPR2","XAF1","RFLNB","TRDC","KLRD1","FUZ","SLC45A3","ZWILCH",NA,"ZNF804A","MS4A7","GPD1","CABLES1","CIR1","SCARB2",NA,NA,"CCL20","ANPEP","AC064805.1","EREG","CXCR3","INSM1","IL22RA2","RAB7B","SFTPA2","SLC1A1","PLN","HGH1",NA,"HLA-DQA1","CD86","FASLG","CCL5","GZMH","TRBC2","CD79A","IL12B",NA,NA,"TIGIT",NA,NA,"CD177","CXCR2",NA,"CSF1R","CD68","CSF1",NA,NA,"CD248","LGALS9","MMP11","PGF","ENG","AURKB",NA,"PDCD1","ITM2A","CXCR3","ZBTB32","CXCL13","TNFRSF9","DNPH1","SPINT2","SNRPB","ENTPD1","UBE2B","SRGAP3","PDCD1","  ST3GAL5","H2AFV","PLAC8","IGHA2","CXCL10","MTSS1","GZMM","MYO7A","TCF7","HLA-DOA","COL18A1","SRGN","PCLAF","NR4A1","GSN","IL32","CTHRC1","CTSC","NRN1","SPARCL1","TM4SF1","AGR3","VWA5A","SAA1","CALD1","GPNMB","LTB","IDO1","COL5A1","FBP1","SPON2","IL32","CCL4","COL1A2","TOP2A","FCGR3B","IRF4","JCHAIN","CD2","PLAUR","PAG1","HLA-DQA1","NQO1","KRT7","PGC","CAVIN2","AQP1","CLEC10A","COL4A1","CCDC80","CFAP276","MT2A","CALD1","SPIB",NA,"KLRD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HLA-DQA1"
"SNRPD1","MMP2","ETV4","WDR74","SP5","PFKP","CEP55","CXCR7","FPR1","APOC1","C1orf194","CMTM8","PCDH17","FBLN1","SNCA","TNFRSF13B","KIF18B","IKZF3","HSPD1","TSHZ2","LINC01943","RPS12","CRTAM","AC005726.5","ADA2","AL355076.2","PKHD1L1","CLCC1",NA,"IRAK2","IL1RAP","LINC01506","DDX60L","S100A8","PCID2","KIR2DL1","MAPK6","ARHGEF6","C11orf45",NA,"LAP3","SLCO2B1","LTA4H","SDC3","HS3ST2","HSD3B7",NA,NA,"HK2","ZNF850","SNORA81","AC007608.4","ZC3HAV1","AC009812.4","CHAD","CST3","HHIP","AQP4","ABCC9","ZCCHC12",NA,"CIITA","CD40LG","TBX21","CXCR3","GNLY","CD28","CD79B","IL23A",NA,NA,"VSIR",NA,NA,"FFAR2","CCR3",NA,"CSF2RA",NA,NA,NA,NA,"COL6A1","LAMA3","PLOD2","CXCL5","CLEC14A","E2F1",NA,"PARK7","CCL4","BATF","BST2","CTLA4","CASP4","TNFSF10","ZBTB16","ATP6V0D1","HLA-DRA","RNF11","ATP8B4","PARK7","  SLC37A3","CCDC144A","GPR183","IGLC7","EBI3","KIR2DL4","TMEM123","HAVCR2","CCR7","HLA-DMB","CD36","HLA-DPB1","TUBA1B","HSPD1","C3","CXCL3","COL3A1","SYNPO2","VEGFA","MYL9","RARRES2","SLPI","RGS13","LTF","MYH11","CD14","IGHM","TXN","LUM","INHBA","CD247","CD2","TRAC","THY1","MKI67","BASP1","PLAC8","IGHG2","CD3D","ZEB2","LILRB2","SNX3","TACSTD2","CLDN18","SLC34A2","ADIRF","HYAL2","GPR183","SPARC","IGFBP6","FAM183A","IGFBP3","COL6A3","PNOC",NA,"CTSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HLA-DRB1"
