"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","Fibroblasts","Endothelial.cells","Epithelial.cells"
"SU2CLC.CLE.NIVO10",0.0236591117368797,0,0.0178321891314382,0.0137246207851733,0.00035167311360591,0.00813290467529463,0.00101774010129504,0.0217637006139484,0.00269753035472588,0.00251184108352302,0,0.00739410401259382,0.0102848356135906,0.118409319356217,0.0149888934239905,0.112702528315953,0.00309715251593548,0,0,0.0491109854692677,0.00377311262623941,0.0120553957569926,0.538115465381735,0.00110037420542742,0.0372765217261735
"SU2CLC.CLE.NIVO18",0.00211943450079914,0.0228894420930945,0.0441196632386183,0.0399599355067197,0,0.0589367592240223,0.0129517715742189,0.0297413260042429,0,0,0,0.0251708130756373,0.00622556441134866,0.0609338255659341,0.00860558531743839,0.0809811486832781,0.00592814319474322,0.00495912267327987,0,0.0408866001294508,0,6.07912286611e-05,0.221230905246365,0.00246370518776262,0.331835463144386
"SU2CLC.CLE.NIVO19",0.0236200933628453,0.0171804844246198,0.0433147712364338,0.0227471325991558,0,0.0173764856615275,0.0142133769937085,0.030686772762006,0,0.00826782789808639,0,0.00985491515565521,0.00062738430290028,0.0439166076059324,0.0215846104082655,0.074175801309158,0.0142519168047255,0.0244821184859293,0,0.0299581637840272,0,0.00083150002358671,0.289573580198039,0.0151961146414067,0.298140342341991
"SU2CLC.CLE.NIVO2",0.00701806365997102,0.0419873530080268,0.113246883432107,0.10683848245141,0,0.108753241486845,0.0166026144125286,0.0443112597589971,0,0,0,0.0276802805360462,0.0201700897660793,0.0666505808851794,0.0566493968411303,0.110431263491272,0,0,0,0.0262603959306101,0,0.0082334877981456,0.116498596494738,0.0815072935565019,0.0471607164904112
"SU2CLC.CLE.NIVO20",0.00910085811008036,0.0407752878689929,0.0310729113781885,0.146939429932901,0,0,0.0543725717163625,0.0606048398397981,0.0151418105593602,0.0426596680777518,0,0.0490503143634415,0,0.0187334172616339,0.0217185918465216,0.0895198114575475,0.00404766279440673,0.00287646711060185,0,0.0446611427044642,0.00305584099197523,0.0045920089918725,0.0315054684492925,0.00126274907471053,0.328309147470097
"SU2CLC.CLE.NIVO24",0.0739883155791273,0.0846910580698271,0.0363113930751681,0.0531122353590141,0.0600525405346913,0.04480147015422,0.0238153663767286,0.00415741453594777,0,0,0.0305374063536914,0.012778075723622,0.0203472172847896,0.0207123427993823,0.0007292273618858,0.0943312997372631,0.00189771434134851,0,0.0038314947955167,0.0004747343239999,0,0.088808770043144,0.0660988303057059,0.00209379450747875,0.276429298737448
"SU2CLC.CLE.NIVO3",0.0106349342893324,0.0106116861308608,0.00903137558789672,0.0072013251138021,0.00179044415193495,0.0133016535923636,0.00442623143459726,0.0178486253032648,0.00083906680306566,0.00634338844122266,0.00933059360650915,0.0128926489565653,0.00442163255691539,0.0283051550855826,0.00662411965425766,0.0401782803927708,0.00554734610721553,0.00068192426299595,0,0.00819772311014668,0.00253256039972964,0.00087579046334743,0.250905539091441,0.00292903388135348,0.544548921582828
"SU2CLC.CLE.NIVO31",0.0212759663613151,0.0111374348035776,0.0161930146122565,0.249801211717866,0,0.0110571528144647,0,0.00285802861945277,0,0,0.124123882381751,0,0.0817812111852304,0.107330608805987,0.00785266203576765,0.0285888313399688,0.00918973991715859,0.00680446339775548,0.0194575974863911,0.00123896256748461,0.00703227337577045,0,0.212642307380304,0.00054891389878492,0.0810857372987127
"SU2CLC.CLE.NIVO5",0.0532491106351685,0.0206072339426357,0.0282762641182734,0.0514990480271847,0.0117744640362603,0.0331795263421938,0.00072291253396832,0.0442950256357353,0,0.011513778041377,0,0.0197939090819307,0.00980780190099453,0.0224708623499783,0.0440864715155483,0.0769199102769866,0.00241206044224955,0,0,0.0107209670575085,0.00380594863380649,0.00054249509324818,0.225034129638332,0.0117582877005199,0.3175297929961
"SU2CLC.CLE.NIVO52",0.038058769241158,0,0.0338114339520638,0.00801069522564235,0.0437032111643506,0.0307153524477464,0,0.0184256819254743,0,0,0.0276346123994633,0.00189166723161801,0.0639202596840484,0.0135524753118585,0.0030950742549619,0.0288619785387528,0.0120938076999985,0.00473516480243648,0.0485697048850907,0,0.00315070860096738,0,0.267447968235539,0.145653199917559,0.206668234481271
"SU2CLC.CLE.NIVO9",0.00416694207327997,0.00704407732562863,0.00112377033323049,0.0101698007580967,0.00278895105739772,0.0140029787813353,0.00160138962111356,0.00901105124971618,0.00228709972018905,0.00010933772866062,0,5.60901335313e-05,0.00475906356697441,0.0373315832406044,0.00482586711966141,0.054946719736235,0.00178529986086127,0,0.0183432028831505,0.0137477040611448,0.00029587104601566,0.00569314914722554,0.756838670331793,0,0.0490713802241544
"SU2CLC.COL.1001",0.00591892339535088,0.034801113162413,0.027907717402495,0.0238392245162775,0,0.0562161991941294,0,0.0172320207221567,0,0,0,0.0128403471278229,0.00926964345821295,0.0560648496825421,0.00772272769456438,0.0801107278586896,0.00933893443826821,0.00804248983502721,0,0.0316331196999231,0.00858744717766333,0.0138982021767718,0.210282161428881,0.0341908726041999,0.352103278424611
"SU2CLC.COL.1005",0,0.0056946954773175,0.0719669774363137,0.214908327207454,0,0,0.116247149463822,0.0352894219618165,0.00093169159757207,0.0557208804749068,0,0.0307552749634597,0.0180897185312229,0.0493264724465947,0.0674271132017623,0.146239695650727,0.00274905019356591,0,1.82947447374e-05,0,0,0.0021569332778483,0.149047923438615,0.0202576095742165,0.0131727703580473
"SU2CLC.COL.1007",0.0287563088839667,0,0.0418167120552537,0.0406665285927521,0,0.0703725114200493,0.00795392278260073,0.0179655714050472,0,0.00278542480832931,0,0.00705405777542126,0.00831589169393659,0.0225328920792164,0.0120482045478709,0.0605279102295828,0.0147702951124756,0.00759443653687192,0,0.022932543648633,0.00128372702623966,0.0114474466485283,0.211178904650881,0.0276959251539874,0.382300784948356
"SU2CLC.COL.1008",0.101360447265415,0.100754609828189,0.0182887853700568,0.0503152075566902,0.0625579991110898,0.055261417397977,0.0119090009224053,0.0265040641409822,0.00601916120281762,0,0,0.00914353715270847,0.0113095521153507,0.0138808054504203,0,0.017304319778172,0.0043444983462693,0.012394818655774,0,0.00390049438188082,0,0.0365362758849071,0.0311226317547299,0,0.427092373684164
"SU2CLC.COL.1010",0.00167388448679773,0.0138368792544573,0.0620033849196653,0.023998325465503,0,0.0250866459675305,0.00253373919747981,0.0158802302880928,0.00307401327815554,0.00287045173487007,0,0.00103952172635254,0.00254149359179117,0.0361609034923683,0.0164906006939532,0.0432082092759114,0,1.281423368273e-05,0,0.0257579930969815,0,0.00456210185312979,0.36832155492842,0.0168020873524746,0.334145165162383
"SU2CLC.COL.1016",0,0.00359265716888862,0.023743196414434,0.0117996295608765,0.00141236600266877,0.0077770715349028,0.014866510320683,0.00613779724230197,0,0,0,0.00849593925762269,0.00129240197509277,0.0289311818768378,0.0151651162982629,0.0292721247962627,0.00573411140878278,0.00020269236592389,0,0.0279733685582754,0.00035645525977243,0.00244352992407342,0.279757057174256,0.00299581630029173,0.52805097655979
"SU2CLC.COL.1017",0.0360168199452521,0.0437928949888977,0.0227448312178304,0.0293031464599793,0.0176103447578719,0.0466858739182806,0.00510860073778569,0.0161259297787539,0.00472085915325137,0.00873089987564083,0,0.0107265953401626,0.0237653813190093,0.0186969090339757,0.00371821086669669,0.0480380732544106,0.0241452046395531,0.00499188416548927,0,0.012692515399592,0.00036957870250384,0.00403343317116857,0.00683546546032234,0,0.611146547813572
"SU2CLC.COL.1018",0.0269280128568635,0,0.0140758204809722,0.0629617429050278,0.0122655384424705,0.076959163253715,0.0449320371494333,0.0194429633976015,0,0,0.00784747993114782,0.0083737649627782,0.0160168979287737,0.0292363574822032,0.0204400597660869,0.244051797522175,0,0.0303454524968838,0.0489719845617911,0.00178274148915049,0,0.0218419638318363,0.157611172955686,0.0704106320942712,0.0855044164911331
"SU2CLC.COL.1020",0.0179631001254739,0.00231091859076819,0.0233141743195215,0.0430236551912665,0,0.0604539687485983,0.00753133624572863,0.0135502348179328,0,0,0.0190793267596226,0,0.00191463910138084,0.0760868907244523,0.0675721859922396,0.126916250592473,0,0,0.00524459095410314,0,0.00107925475701503,0.00206010822460057,0.329187494455619,0.0205514206367408,0.182160449762463
"SU2CLC.COL.1021",0.00062087732643702,0.00628588488690039,0.00700851853551251,0.0214921558637912,0,0.0233518566916011,0.00581697637345438,0.0222478889620688,0.00983050189807509,0,0,0.0212738437356476,0.016387053894904,0.068603474079774,0.0434712083908819,0.0863963389829475,0.0125273429511656,0.00356899666473467,0,0.0273469746686312,0.00482184451042566,0.0165169346593998,0.591121559310693,0.00373506678737974,0.00757470082557494
"SU2CLC.COL.1022",0.004160620422259,0.00538066480206901,0.00436302338848422,0.00943660340403525,0,0.0277667963506887,0,0.00613881135572033,0,0,0,0.00933610527813984,0.0185842030611142,0.0167897449493537,0.00028319456962747,0.0593349085611988,0.0105895734994633,0,0.0230460830115548,0,0.00167964093858628,0,0.700925491865685,0.0210478525840619,0.0811366819579579
"SU2CLC.COL.1023",0.0402655328885519,0.0441994211463961,0.0767580084007663,0.0799550037389084,0,0.0166795878900145,0.00746439069053336,0.0324702428144967,0.00390966112271895,0.0125475272222858,0,0.00952289209950279,0.00293452027137644,0.0560825779268302,0.0197149663457234,0.0871869847653114,0,0,0,0.0164685595054544,0,0.00324425991536949,0.433222327755734,0.024076546648077,0.0332969888519486
"SU2CLC.COL.1025",0.00655460137524388,0,0.00968835509819915,0.00554822593778761,0,0.00960949229727909,0.0060368108021429,0.0053927902584968,0.00085373432273262,0,0.00228946570435988,0,0.00446473843440156,0.0155754526959377,0.00092496425578886,0.02730535952453,0.00560240847510447,0.00868948122491114,0,0.0123362932848713,0.00367138758623269,0.0100475388025764,0.218038699953139,0.0162610867416947,0.63110911322457
"SU2CLC.COL.1026",0.0115500076256392,0,0.0354412885674889,0.0268861519208694,0,0.0271499738423644,0.00562412042215155,0.0222941721006388,0.00249402280138058,0,0.00521222060795993,0.00390912131912302,0.0315187498626611,0.090039171094351,0,0.119028301283602,0.00713456951495742,0.0197228672938921,0.039430959928422,0,0.00962444818453562,0.010221372933347,0.151921621359212,0.0109481730926124,0.369848686244792
"SU2CLC.COL.1027",0.0367161605275665,0.0614239642578791,0.0577357311841358,0.086932266468478,0.00872880088078364,0.030878319457779,0.0244148000966198,0.0421260563765184,0,0.051151588857853,0,0.0227084384561566,0,0.196124708893214,0.0174613884267844,0.195008891718476,0.0258244144701913,0.00461611833601474,0.0193121079327808,0.00774414565048802,0.00067750994819171,0,0.0818259448443174,0.0285886432157718,0
"SU2CLC.COL.1029",0.0122959167310093,0.00549641380362962,0.0462639395669137,0.0458930540796736,0,0.0420736022235657,0.0179427883558413,0.0334422313348644,0,0.0341682359204868,0,0.0368953047431608,0.00713313971202411,0.0457478779884512,0.029723541806509,0.142691963835269,0.0016543388558182,0.0235607514287771,0,0.0244979618527522,0.00109332135028856,0.00088353884255578,0.151929654978906,0.0198196453571369,0.276792777232367
"SU2CLC.COL.1031",0.0324225125649936,0.143230740823662,0.0390646257641239,0.0415613624477062,0,0.0884773323289581,0.0259595653652582,0.0299254325123278,0,0.0143463656036945,0,0,0.0410006587173144,0.021691373321139,0.024545950617793,0.122140690647468,0.0170502407359891,0.0430924369546134,0,0.0282221522861933,0.0111539538158701,0,0.160155425060275,0.0151511877147298,0.10080799271789
"SU2CLC.COL.1032",0.00956766190485545,0.00723294772889549,0.0259300426084594,0.00838616986165098,0,0.0235918909410303,0.00225105502375339,0.0101820078003397,0.0079358132228425,0.00256077825197538,0,0.00771507189596105,0.0103313205493854,0.0363265055547634,0.00076531558942413,0.0639416081073302,0.00366681434786077,0.00503526557163058,0.0066819480776537,0.00334729153220718,0,0.00207802955054949,0.382476446652911,0,0.379996015226521
"SU2CLC.COL.1033",0.00069579137980558,0.0233389202012185,0.0252716612327008,0.0320968229936427,0,0.0418755362318743,0.0141988620341076,0.0175247977816453,0,0.0151687769088726,0,0.00654989822470331,0.0149005585061473,0.0315000386426319,0,0.0832756873522706,0.0243337907974472,0.0207734138452141,0.0350976559723749,0.00200918551354282,0,0,0.280036496309596,0.0334654355442987,0.297886670527906
"SU2CLC.COL.1034",0.00612815525133316,0.00430066578381745,0.00640589123494993,0.0114820899345578,0,0.0250896877836676,0.00757870145321637,0.0172876798309022,0.00361838907825567,0.00284778573392007,0.00270891858060344,0.0060983798951188,0.0084131622409708,0.0625052607798396,0.00143663730619435,0.0732964768137045,0.0179247073713654,0.00528525618221712,0,0.0262534467089176,0.00787739343749833,0.0120896393717058,0.155833480811855,0.0120705174879101,0.523467676927479
"SU2CLC.COL.1035",0.0351746587500097,0.0640638854943231,0.0206308418979615,0.0404388407850623,0.0385187819574277,0.0935854547134102,0.00997365626380381,0.0257572609001474,0,0.0059790042503245,0,0.0007864712019169,0.0222398319957636,0.0133509647324621,0.00184578296788322,0.0392264618776354,0,0,0,0.00378475380057547,0,0,0.477230083758495,0.102495945388729,0.00491731926406911
"SU2CLC.COL.1036",0.0266891180566428,0,0.072601734837847,0.047767273873799,0,0.0113423206458887,0,0.0273937293522365,0.00668330614895228,0.00839118515712653,0,0.0219812895189476,0.00283818117380728,0.0531784532750846,0.0279070251373093,0.0704457707446256,0.010994718622357,0,0.00894159094428476,0.0151310411094257,0,0.00332216473646385,0.227957395211429,0.0394881973489593,0.316945504104813
"SU2CLC.COL.1037",0.0582548372584918,0.0462905381912427,0.0500831669652833,0.0746204908446303,0.00672230324694634,0.0517161442665952,0.0395408391024729,0.0410053238869531,0,0.0280842019326858,0,0.0218346156387201,0,0.0997017182524366,0.0471772075511401,0.0969200231464158,0,0,0,0.0267978182309891,0,0,0.133679203850963,0.0357541099255831,0.141817457708451
"SU2CLC.COL.1038",0.0165859782577405,0.0201936109246457,0.0337077371558144,0.0380422009910236,0.0323037624326463,0.063517904925403,0,0.0119001241998499,0,0,0.0147590977605846,0.0225136358032709,0.0339148665124064,0.028459947090247,0.0112653489130365,0.0728588699923964,0.0465037871509806,0.0036514645558777,0.038358291688519,0,0.0383098246780124,0.00895056304132812,0.0976103368492085,0.103885241438571,0.262707405638438
"SU2CLC.COL.1039",0,0.00413993661851676,0.00438723310773105,0.0579246958477341,0,0.0102638896320836,0.040818855405406,0.051661022948806,0,0.0297628864936718,0.0104823335348835,0.0414025634889806,0.0288950860041686,0.0733837129562325,0.0528777847062215,0.080454586355072,0.0267067482685279,0,0,0.023909514375563,0.012523822740054,0.0328927221224986,0.0178040107212573,0.00628963031829339,0.393418964354298
"SU2CLC.COL.1041",0.00826926967733255,0,0.0173951381887174,0.0210545918242976,0,0.0410082624714597,0.00549787550170241,0.0145981655330093,0,0.0174813877876049,0,0,0.00165138911077365,0.00776313714173312,0.00660830623650636,0.046813367176163,0.0116948281523127,0.00473035584426452,0.0154537149609292,0.00145116309629182,0,0,0.16152769442249,0.0395899754516191,0.577411377422793
"SU2CLC.COL.1043",0.030054557335174,0.0210302222307246,0.0237468637140169,0.0697618018928524,0.0146408501845506,0.0761539980499534,0.0485771671905771,0.0278591304029345,0,0.0530247724906548,0,0.00887173129049532,0.0110539375196563,0.0355843746674911,0.0141806608125407,0.117012485839644,0.022941413398466,0.00749371828468095,0.0124427125922969,0.0063346133562609,0,0,0.283896018582255,0.0191379812479725,0.0962009889168013
"SU2CLC.COL.1044",0.0160912448090236,0.00412671453350943,0.0503209762096551,0.143334310901754,0,0,0.0756990645199406,0.0468367078175861,0,0.00900131508366634,0,0.037310998800688,0.00045166732795561,0.0842482976119804,0.0603532930742619,0.132105209652877,9.94226037271e-06,0,0,0.0348316825015197,0,0.00670075204999755,0.149917208061572,0.0131868800076339,0.135473734776006
"SU2CLC.DFC.1001",0.03192220012819,0.0166656258671881,0.0269493681172383,0.0217658334764747,0,0.0853660314477469,0.00646749415734877,0.0258710973869758,0,0.00536670072896898,0,0.0157500237225877,0.0120325321800826,0.0266506284893935,0.00984401846300784,0.0948359735744517,0.00465611922160096,0.00760564042214103,0,0.0241653024896491,0,0.0272228245937438,0.328633641645802,0.0535732137713034,0.174655730116105
"SU2CLC.DFC.1002",0.00447598860553631,0.00890515960797301,0.021326069323826,0.0201568591929604,0.0112758136679398,0.0403604952123468,0,0.0157067055889005,0,0,0,0.0141704583451602,0.010142405002283,0.0262065815996273,0.00344819044579038,0.044683289548539,0.00507522627721032,0.0156987585893074,0,0.00991406097476585,0.00217482970263048,0.00042049002089432,0.142702676318642,0.0770730988737164,0.52608284310195
"SU2CLC.DFC.1003",0.0168868551869606,0.0114253927573203,0.0481962538350474,0.0184568568552668,0.00766193656550323,0.0259902391149569,0,0.0251746110438197,0,0,0.00054966581052357,0.00396284564603988,0.00844626509975165,0.0461463828870149,0.00697526143312726,0.0322404773645372,0,0.00183166324424017,0.00483566967892449,0.00081289762336363,0,0,0.351022307279173,0.0274520971870605,0.361932321387369
"SU2CLC.DFC.1004",0.0110996633417842,0.0062620994381347,0.0134366301432619,0.0194929625239117,0.00333137301599756,0.0422038161383531,0.00386145703054472,0.0136172677295451,0,0.00407385989640904,0,0.0158876462455424,0.021325392806195,0.0431541667255552,0.0153078028662185,0.0805035736722821,0.019215478596932,0.00226244383764355,0.0139421824754609,0.0144997850903395,0,0.00765637627293627,0.178241259395952,0.0483247108514787,0.422300051905521
